Time	X_Setpt	X_FB	Y_Setpt	Y_FB	Theta_Setpt	Theta_FB	Motion Status	
20200423_221924.137678	-9.18485099361e-17	-0.7198	-0.5	-1.4443	-1.57079632679	-1.7624	1	
20200423_221924.234422	-9.18485099361e-17	-0.72	-0.5	-1.4447	-1.57079632679	-1.7571	1	
20200423_221924.334491	-9.18485099361e-17	-0.7218	-0.5	-1.4474	-1.57079632679	-1.7172	1	
20200423_221924.434537	-9.18485099361e-17	-0.7242	-0.5	-1.4499	-1.57079632679	-1.6544	1	
20200423_221924.534552	-9.18485099361e-17	-0.7267	-0.5	-1.4529	-1.57079632679	-1.5843	1	
20200423_221924.634460	-9.18485099361e-17	-0.7291	-0.5	-1.4572	-1.57079632679	-1.4919	1	
20200423_221924.734495	-9.18485099361e-17	-0.7307	-0.5	-1.4604	-1.57079632679	-1.4285	1	
20200423_221924.834502	-9.18485099361e-17	-0.7322	-0.5	-1.4648	-1.57079632679	-1.3549	1	
20200423_221924.934585	-9.18485099361e-17	-0.7339	-0.5	-1.4694	-1.57079632679	-1.2788	1	
20200423_221925.034491	-9.18485099361e-17	-0.7348	-0.5	-1.475	-1.57079632679	-1.2015	1	
20200423_221925.134569	-9.18485099361e-17	-0.7351	-0.5	-1.4804	-1.57079632679	-1.1253	1	
20200423_221925.234590	-9.18485099361e-17	-0.735	-0.5	-1.4863	-1.57079632679	-1.044	1	
20200423_221925.334539	-9.18485099361e-17	-0.7333	-0.5	-1.4926	-1.57079632679	-1.0014	1	
20200423_221925.434435	-9.18485099361e-17	-0.7329	-0.5	-1.4983	-1.57079632679	-0.9022	1	
20200423_221925.534508	-9.18485099361e-17	-0.7295	-0.5	-1.5047	-1.57079632679	-0.8504	1	
20200423_221925.634476	-9.18485099361e-17	-0.7274	-0.5	-1.5113	-1.57079632679	-0.7648	1	
20200423_221925.734480	-9.18485099361e-17	-0.7238	-0.5	-1.5175	-1.57079632679	-0.6878	1	
20200423_221925.834534	-9.18485099361e-17	-0.7196	-0.5	-1.5241	-1.57079632679	-0.614	1	
20200423_221925.934543	-9.18485099361e-17	-0.7152	-0.5	-1.5301	-1.57079632679	-0.5352	1	
20200423_221926.034479	-9.18485099361e-17	-0.7103	-0.5	-1.5358	-1.57079632679	-0.4594	1	
20200423_221926.134529	-9.18485099361e-17	-0.7042	-0.5	-1.5413	-1.57079632679	-0.3864	1	
20200423_221926.234583	-9.18485099361e-17	-0.697	-0.5	-1.5465	-1.57079632679	-0.3096	1	
20200423_221926.334510	-9.18485099361e-17	-0.6899	-0.5	-1.5503	-1.57079632679	-0.238	1	
20200423_221926.434501	-9.18485099361e-17	-0.6824	-0.5	-1.5545	-1.57079632679	-0.1624	1	
20200423_221926.534381	-9.18485099361e-17	-0.6732	-0.5	-1.5578	-1.57079632679	-0.0875	1	
20200423_221926.634410	-9.18485099361e-17	-0.6642	-0.5	-1.5607	-1.57079632679	-0.0105	1	
20200423_221926.734580	-9.18485099361e-17	-0.6548	-0.5	-1.5627	-1.57079632679	0.0655	1	
20200423_221926.834431	-9.18485099361e-17	-0.6457	-0.5	-1.5645	-1.57079632679	0.1468	1	
20200423_221926.934556	-9.18485099361e-17	-0.6355	-0.5	-1.5654	-1.57079632679	0.2261	1	
20200423_221927.034599	-9.18485099361e-17	-0.6257	-0.5	-1.5649	-1.57079632679	0.2967	1	
20200423_221927.134541	-9.18485099361e-17	-0.6169	-0.5	-1.5637	-1.57079632679	0.369	1	
20200423_221927.234519	-9.18485099361e-17	-0.6077	-0.5	-1.5621	-1.57079632679	0.4438	1	
20200423_221927.334520	-9.18485099361e-17	-0.5978	-0.5	-1.5602	-1.57079632679	0.5185	1	
20200423_221927.434607	-9.18485099361e-17	-0.5882	-0.5	-1.5574	-1.57079632679	0.5999	1	
20200423_221927.534574	-9.18485099361e-17	-0.5786	-0.5	-1.5515	-1.57079632679	0.6744	1	
20200423_221927.634443	-9.18485099361e-17	-0.5695	-0.5	-1.548	-1.57079632679	0.7544	1	
20200423_221927.734486	-9.18485099361e-17	-0.5611	-0.5	-1.5436	-1.57079632679	0.8302	1	
20200423_221927.834590	-9.18485099361e-17	-0.5512	-0.5	-1.5358	-1.57079632679	0.912	1	
20200423_221927.934580	-9.18485099361e-17	-0.5443	-0.5	-1.5309	-1.57079632679	0.984	1	
20200423_221928.034586	-9.18485099361e-17	-0.5357	-0.5	-1.5226	-1.57079632679	1.0587	1	
20200423_221928.134363	-9.18485099361e-17	-0.5299	-0.5	-1.515	-1.57079632679	1.1363	1	
20200423_221928.234462	-9.18485099361e-17	-0.5243	-0.5	-1.5044	-1.57079632679	1.1494	1	
20200423_221928.334565	-9.18485099361e-17	-0.5214	-0.5	-1.4967	-1.57079632679	1.1739	1	
20200423_221928.434488	-9.18485099361e-17	-0.5165	-0.5	-1.4876	-1.57079632679	1.1717	1	
20200423_221928.534550	-9.18485099361e-17	-0.5132	-0.5	-1.4772	-1.57079632679	1.1715	1	
20200423_221928.634497	-9.18485099361e-17	-0.5093	-0.5	-1.4705	-1.57079632679	1.166	1	
